date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_rating,away_rating,long,lat
2016-07-07,France,Germany,2.0,0.0,UEFA Euro,Marseille,France,False,1971,2033,43.2961743,5.3699525
2016-07-10,France,Portugal,0.0,1.0,UEFA Euro,Saint-Denis,France,False,1971,1913,48.935773,2.3580232
2016-09-01,Argentina,Uruguay,1.0,0.0,FIFA World Cup qualification,Mendoza,Argentina,False,2050,1966,-34.787093049999996,-68.43818677312292
2016-09-01,Australia,Iraq,2.0,0.0,FIFA World Cup qualification,Perth,Australia,False,1716,1499,-31.9558964,115.8605801
2016-09-01,Ecuador,Brazil,0.0,3.0,FIFA World Cup qualification,Quito,Ecuador,False,1873,2022,-0.2201641,-78.5123274
2016-09-01,Iran,Qatar,2.0,0.0,FIFA World Cup qualification,Tehran,Iran,False,1735,1537,35.6892523,51.3896004
2016-09-01,Japan,United Arab Emirates,1.0,2.0,FIFA World Cup qualification,Saitama,Japan,False,1761,1629,35.9754168,139.4160114
2016-09-01,South Korea,China,3.0,2.0,FIFA World Cup qualification,Seoul,South Korea,False,1783,1572,37.5666791,126.9782914
2016-09-01,Saudi Arabia,Thailand,1.0,0.0,FIFA World Cup qualification,Riyadh,Saudi Arabia,False,1525,1409,24.638916,46.7160104
2016-09-02,El Salvador,Mexico,1.0,3.0,FIFA World Cup qualification,San Salvador,El Salvador,False,1423,1937,13.6989939,-89.1914249
2016-09-02,Haiti,Costa Rica,0.0,1.0,FIFA World Cup qualification,Port-au-Prince,Haiti,False,1499,1790,18.547327,-72.3395928
2016-09-02,Honduras,Canada,2.0,1.0,FIFA World Cup qualification,San Pedro Sula,Honduras,False,1525,1511,15.5062156,-88.0248937
2016-09-02,Saint Vincent and the Grenadines,United States,0.0,6.0,FIFA World Cup qualification,Kingstown,Saint Vincent and the Grenadines,False,1141,1752,13.1561864,-61.2279621
2016-09-03,Cameroon,Gambia,2.0,0.0,African Cup of Nations qualification,Limbé,Cameroon,False,1606,1304,19.7064096,-72.4029292
2016-09-03,Ghana,Rwanda,1.0,1.0,African Cup of Nations qualification,Accra,Ghana,False,1638,1316,5.5571096,-0.2012376
2016-09-03,Senegal,Namibia,2.0,0.0,African Cup of Nations qualification,Dakar,Senegal,False,1663,1333,14.693425,-17.447938
2016-09-04,Denmark,Armenia,1.0,0.0,FIFA World Cup qualification,Copenhagen,Denmark,False,1726,1523,55.6867243,12.5700724
2016-09-04,Kazakhstan,Poland,2.0,2.0,FIFA World Cup qualification,Astana,Kazakhstan,False,1404,1775,51.1282205,71.4306682
2016-09-04,Norway,Germany,0.0,3.0,FIFA World Cup qualification,Oslo,Norway,False,1638,2033,59.9133301,10.7389701
2016-09-04,Slovakia,England,0.0,1.0,FIFA World Cup qualification,Trnava,Slovakia,False,1772,1965,48.3767652,17.5858175
2016-09-04,Tunisia,Liberia,4.0,1.0,African Cup of Nations qualification,Monastir,Tunisia,False,1555,1335,39.38474,9.044841
2016-09-05,Croatia,Turkey,1.0,1.0,FIFA World Cup qualification,Zagreb,Croatia,False,1818,1822,45.84264135,15.962231476593626
2016-09-05,Serbia,Ireland,2.0,2.0,FIFA World Cup qualification,Belgrade,Serbia,False,1724,1758,44.8178131,20.4568974
2016-09-05,Spain,Liechtenstein,8.0,0.0,FIFA World Cup qualification,León,Spain,False,2013,1194,42.63414505,-5.971415104539984
2016-09-05,Wales,Moldova,4.0,0.0,FIFA World Cup qualification,Cardiff,Wales,False,1664,1352,51.4816546,-3.1791934
2016-09-06,Belarus,France,0.0,0.0,FIFA World Cup qualification,Barysaw,Belarus,False,1586,1971,54.2240665,28.5117849
2016-09-06,Brazil,Colombia,2.0,1.0,FIFA World Cup qualification,Manaus,Brazil,False,2022,1981,-3.1316333,-59.9825041
2016-09-06,Canada,El Salvador,3.0,1.0,FIFA World Cup qualification,Vancouver,Canada,False,1511,1423,49.2608724,-123.113952
2016-09-06,China,Iran,0.0,0.0,FIFA World Cup qualification,Shenyang,China PR,False,1572,1735,41.6749893,123.458674
2016-09-06,Costa Rica,Panama,3.0,1.0,FIFA World Cup qualification,San José,Costa Rica,False,1790,1677,9.9325427,-84.0795782
2016-09-06,Cyprus,Belgium,0.0,3.0,FIFA World Cup qualification,Nicosia,Cyprus,False,1455,1920,35.1748976,33.3638568
2016-09-06,Iraq,Saudi Arabia,1.0,2.0,FIFA World Cup qualification,Shah Alam,Malaysia,True,1499,1525,3.0733644,101.5195149
2016-09-06,Mexico,Honduras,0.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,False,1937,1525,19.4326296,-99.1331785
2016-09-06,Peru,Ecuador,2.0,1.0,FIFA World Cup qualification,Lima,Peru,False,1777,1873,-12.0621065,-77.0365256
2016-09-06,Qatar,Uzbekistan,0.0,1.0,FIFA World Cup qualification,Doha,Qatar,False,1537,1661,25.2856329,51.5264162
2016-09-06,Sweden,Netherlands,1.0,1.0,FIFA World Cup qualification,Solna,Sweden,False,1755,1911,59.361367,18.0013693
2016-09-06,Switzerland,Portugal,2.0,0.0,FIFA World Cup qualification,Basel,Switzerland,False,1771,1913,47.5581077,7.5878261
2016-09-06,Syria,South Korea,0.0,0.0,FIFA World Cup qualification,Paroi,Malaysia,True,1493,1783,2.7266423,101.9810115
